id,nume,post,iesiri_din_poarta,plonjari,goluri_primite,minute_jucate,boxari,parade,pase_gol,sanse_create,goluri,precizie_pase,suturi,suturi_blocate,precizie_suturi,centrari,pase_cheie,mingi_profunzime,pase,dueluri_aeriene_pierdute,dueluri_aeriene_castigate,degajari,deposedat,driblinguri_incercate,driblinguri_reusite,dueluri_pierdute,dueluri_castigate,faulturi,interceptii,recuperari,deposedari_incercate,deposedari_reusite,faultat,cartonase_galbene,cartonase_rosii,rating
295067,Will Hughes,mijlocas,0,0,0,80,0,0,0,0,0,52,1,0,100,0,0,1,27,1,1,0,0,0,0,6,8,2,0,4,4,2,3,1,0,6.6
180259,Andre Gray,atacant,0,0,0,33,0,0,0,0,0,90,0,0,0,1,1,1,10,0,0,1,0,0,0,0,1,0,0,2,1,1,0,0,0,6.4
24147,Ben Foster,portar,0,4,0,90,1,5,0,0,0,0,0,0,0,0,0,23,24,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,8.6
169162,Craig Dawson,fundas,0,0,0,90,0,0,0,0,0,89,1,1,0,0,0,2,27,1,1,7,0,0,0,3,1,1,2,7,0,0,0,1,0,6.7
40548,Craig Cathcart,fundas,0,0,0,90,0,0,0,0,0,82,0,0,0,0,0,11,39,1,1,3,0,0,0,3,3,0,1,3,2,2,0,0,0,6.9
149219,Christian Kabasele,fundas,0,0,0,90,0,0,0,0,0,74,0,0,0,0,0,10,34,3,2,3,0,1,1,4,3,1,1,3,0,0,0,0,0,6.7
104482,Daryl Janmaat,mijlocas,0,0,0,90,0,0,0,0,0,66,0,0,0,4,0,3,32,0,1,3,1,1,1,2,6,0,2,9,3,2,1,0,0,7.2
160713,Tom Cleverley,mijlocas,0,0,0,10,0,0,0,0,0,100,0,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,6.1
215658,Nathaniel Chalobah,mijlocas,0,0,0,57,0,0,0,0,0,87,0,0,0,0,0,0,15,0,2,1,0,1,0,1,3,0,0,2,1,0,0,0,0,6.3
352887,Abdoulaye Doucouré,mijlocas,0,0,0,90,0,0,0,0,0,80,2,0,0,1,1,3,41,3,0,1,1,3,1,11,5,3,2,10,4,3,0,1,0,6.4
